Filename,Dimensions,Voxel Size (mm),Orientation,Compatible
IXI002-Guys-0828-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI012-HH-1211-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI013-HH-1212-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI014-HH-1236-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI015-HH-1258-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI016-Guys-0697-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI017-Guys-0698-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI019-Guys-0702-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI020-Guys-0700-T1.nii.gz,"(256, 256, 140)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI021-Guys-0703-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI022-Guys-0701-T1.nii.gz,"(256, 256, 140)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI023-Guys-0699-T1.nii.gz,"(256, 256, 130)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI024-Guys-0705-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI025-Guys-0852-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI026-Guys-0696-T1.nii.gz,"(256, 256, 130)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
